Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Matriculados;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;9;MEDICINA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;445;Medicina;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;906;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;9;MEDICINA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;445;Medicina;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;894;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;9;MEDICINA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;445;Medicina;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;538;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;9;MEDICINA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;445;Medicina;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;2;536;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;96;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;104;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;278;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;10;NUTRICION Y DIETETICA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;446;Nutrición y dietética;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;2;279;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;11;ODONTOLOGIA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;447;Odontología;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;1;218;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;11;ODONTOLOGIA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;447;Odontología;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;1;HOMBRE;2016;2;220;;;;;;;;
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;PRINCIPAL;1;OFICIAL;4;Universidad;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;11;ODONTOLOGIA;1;PREGRADO;6;Universitaria;1;Presencial;4;Ciencias de la salud;447;Odontología;;;;;;;11;BOGOTA D.C;11001;SANTAFE DE BOGOTA;2;MUJER;2016;1;310;;;;;;;;
