Código de la Institución;IES PADRE;Institución de Educación Superior (IES);Principal o Seccional;ID Sector IES;Sector IES;ID Caracter;Caracter IES;Código del departamento (IES);Departamento de domicilio de la IES;Código del Municipio (IES);Municipio de domicilio de la IES;Código SNIES del programa;Programa Académico;ID Nivel Académico;Nivel Académico;ID Nivel de Formación;Nivel de Formación;ID Metodología;Metodología;ID Área;Área de Conocimiento;Id_Nucleo;Núcleo Básico del Conocimiento (NBC);ID CINE Campo Amplio;Desc CINE Campo Amplio;ID CINE Campo Especifico;Desc CINE Campo Especifico;ID CINE Código Detallado;Desc CINE Código Detallado;Código del Departamento (Programa);Departamento de oferta del programa;Código del Municipio (Programa);Municipio de oferta del programa;ID Sexo;Sexo;Año;Semestre;Graduados
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;11;ODONTOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;447;Odontología;9;Salud y Bienestar;91;Salud;911;Odontología y estudios dentales;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;22
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;3
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;12;TERAPIA OCUPACIONAL;1;PREGRADO;6;Universitario;1;Presencial;4;Ciencias de la salud;442;Terapias;9;Salud y Bienestar;91;Salud;915;Fisioterapia, Fonoaudiología, Terapia ocupacional, Nutrición y afines;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;13
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;553;Antropología y  artes liberales;2;Arte y Humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;21
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;553;Antropología y  artes liberales;2;Arte y Humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;18
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;553;Antropología y  artes liberales;2;Arte y Humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;11
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;13;ANTROPOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;553;Antropología y  artes liberales;2;Arte y Humanidades;22;Humanidades (Excepto idiomas);222;Historia y arqueología;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;22
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;14;PSICOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;566;Psicología;3;Ciencias Sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;313;Psicología;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;30
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;14;PSICOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;566;Psicología;3;Ciencias Sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;313;Psicología;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;2;30
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;14;PSICOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;566;Psicología;3;Ciencias Sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;313;Psicología;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;1;21
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;14;PSICOLOGIA;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;566;Psicología;3;Ciencias Sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;313;Psicología;11;Bogotá, D.C.;11001;Bogotá, D.C.;2;Mujer;2021;2;27
1101;1101;UNIVERSIDAD NACIONAL DE COLOMBIA;Principal;1;OFICIAL;4;Universidad;11;Bogotá, D.C.;11001;Bogotá, D.C.;15;TRABAJO SOCIAL;1;PREGRADO;6;Universitario;1;Presencial;5;Ciencias sociales y humanas;569;Sociología, trabajo social y afines;3;Ciencias Sociales, Periodismo e Información;31;Ciencias sociales y del comportamiento;315;Trabajo social;11;Bogotá, D.C.;11001;Bogotá, D.C.;1;Hombre;2021;1;12
